"STATION","DATE","SOURCE","LATITUDE","LONGITUDE","ELEVATION","NAME","REPORT_TYPE","CALL_SIGN","QUALITY_CONTROL","WND","CIG","VIS","TMP","DEW","SLP","GA1","GA2","GA3","GA4","GE1","GF1","MA1","MW1","MW2","OC1","REM","EQD"
"01001499999","2023-01-01T10:20:00","4","59.791925","5.34085","48.76","SORSTOKKEN, NO","FM-15","99999","V020","999,9,V,0015,1","99999,9,9,Y","009900,5,9,9","-0020,1","-0040,1","99999,9",,,,,,,"10020,1,99999,9",,,,"MET047METAR ENSO 011020Z VRB03KT CAVOK M02/M04 Q1002=",
"01001499999","2023-01-01T10:50:00","4","59.791925","5.34085","48.76","SORSTOKKEN, NO","FM-15","99999","V020","999,9,V,0015,1","99999,9,9,Y","009900,5,9,9","-0010,1","-0040,1","99999,9",,,,,,,"10020,1,99999,9",,,,"MET047METAR ENSO 011050Z VRB03KT CAVOK M01/M04 Q1002=",
"01001499999","2023-01-01T11:20:00","4","59.791925","5.34085","48.76","SORSTOKKEN, NO","FM-15","99999","V020","120,1,N,0026,1","99999,9,9,Y","009900,5,9,9","-0010,1","-0050,1","99999,9",,,,,,,"10020,1,99999,9",,,,"MET047METAR ENSO 011120Z 12005KT CAVOK M01/M05 Q1002=",
"01001499999","2023-01-01T12:20:00","4","59.791925","5.34085","48.76","SORSTOKKEN, NO","FM-15","99999","V020","120,1,N,0031,1","99999,9,9,Y","009900,5,9,9","+0000,1","-0050,1","99999,9",,,,,,,"10020,1,99999,9",,,,"MET046METAR ENSO 011220Z 12006KT CAVOK 00/M05 Q1002=",
"01001499999","2023-01-01T12:50:00","4","59.791925","5.34085","48.76","SORSTOKKEN, NO","FM-15","99999","V020","110,1,N,0031,1","99999,9,9,Y","009900,5,9,9","+0000,1","-0050,1","99999,9",,,,,,,"10020,1,99999,9",,,,"MET046METAR ENSO 011250Z 11006KT CAVOK 00/M05 Q1002=",
"01001499999","2023-01-01T13:20:00","4","59.791925","5.34085","48.76","SORSTOKKEN, NO","FM-15","99999","V020","110,1,N,0057,1","99999,9,9,Y","009900,5,9,9","+0000,1","-0050,1","99999,9",,,,,,,"10030,1,99999,9",,,,"MET046METAR ENSO 011320Z 11011KT CAVOK 00/M05 Q1003=",
"01001499999","2023-01-01T13:50:00","4","59.791925","5.34085","48.76","SORSTOKKEN, NO","FM-15","99999","V020","100,1,N,0067,1","99999,9,9,Y","009900,5,9,9","+0000,1","-0050,1","99999,9",,,,,,,"10030,1,99999,9",,,,"MET046METAR ENSO 011350Z 10013KT CAVOK 00/M05 Q1003=",
"01001499999","2023-01-01T14:20:00","4","59.791925","5.34085","48.76","SORSTOKKEN, NO","FM-15","99999","V020","100,1,N,0057,1","99999,9,9,Y","009900,5,9,9","+0010,1","-0060,1","99999,9",,,,,,,"10030,1,99999,9",,,,"MET046METAR ENSO 011420Z 10011KT CAVOK 01/M06 Q1003=",
"01001499999","2023-01-01T14:50:00","4","59.791925","5.34085","48.76","SORSTOKKEN, NO","FM-15","99999","V020","110,1,N,0051,1","99999,9,9,Y","009900,5,9,9","+0010,1","-0060,1","99999,9",,,,,,,"10040,1,99999,9",,,,"MET046METAR ENSO 011450Z 11010KT CAVOK 01/M06 Q1004=",
"01001499999","2023-01-01T15:20:00","4","59.791925","5.34085","48.76","SORSTOKKEN, NO","FM-15","99999","V020","999,9,V,0005,1","99999,9,9,Y","009900,5,9,9","+0010,1","-0060,1","99999,9",,,,,,,"10040,1,99999,9",,,,"MET046METAR ENSO 011520Z VRB01KT CAVOK 01/M06 Q1004=",
