"STATION","DATE","SOURCE","LATITUDE","LONGITUDE","ELEVATION","NAME","REPORT_TYPE","CALL_SIGN","QUALITY_CONTROL","WND","CIG","VIS","TMP","DEW","SLP","KA1","KA2","MA1","MD1","OC1","OD1","REM","EQD"
"01006099999","2023-01-01T00:00:00","4","78.25","22.8166666","14.0","EDGEOYA, NO","FM-12","99999","V020","136,1,N,0067,1","99999,9,9,9","999999,9,9,9","-0005,1","-0011,1","09929,1",,,"99999,9,09914,1","2,1,004,1,+999,9","0082,1","3,99,9999,9,999","SYN004BUFR",
"01006099999","2023-01-07T00:00:00","4","78.25","22.8166666","14.0","EDGEOYA, NO","FM-12","99999","V020","224,1,N,0070,1","99999,9,9,9","999999,9,9,9","-0055,1","-0082,1","10243,1",,,"99999,9,10227,1",,"0073,1","3,99,9999,9,999","SYN004BUFR","Q014     3APCTENQ02.2    3APC3  "
"01006099999","2023-01-10T13:00:00","4","78.25","22.8166666","14.0","EDGEOYA, NO","FM-12","99999","V020","123,1,N,0120,1","99999,9,9,9","999999,9,9,9","-0015,1","-0021,1","09954,1","120,M,-0016,1","120,N,-0019,1","99999,9,09939,1","7,1,026,1,+999,9","0139,1","9,99,0122,1,999","SYN004BUFR",
"01006099999","2023-01-12T07:00:00","4","78.25","22.8166666","14.0","EDGEOYA, NO","FM-12","99999","V020","012,1,N,0055,1","99999,9,9,9","999999,9,9,9","-0025,1","-0031,1","09938,1","120,M,-0021,1","120,N,-0029,1","99999,9,09923,1","7,1,006,1,+999,9","0076,1","9,99,0068,1,999","SYN004BUFR",
"01006099999","2023-01-12T08:00:00","4","78.25","22.8166666","14.0","EDGEOYA, NO","FM-12","99999","V020","108,1,N,0064,1","99999,9,9,9","999999,9,9,9","-0015,1","-0019,1","09933,1","120,M,-0015,1","120,N,-0025,1","99999,9,09917,1","6,1,009,1,+999,9","0079,1","9,99,0064,1,999","SYN004BUFR",
"01006099999","2023-01-12T09:00:00","4","78.25","22.8166666","14.0","EDGEOYA, NO","FM-12","99999","V020","127,1,N,0077,1","99999,9,9,9","999999,9,9,9","-0014,1","-0018,1","09933,1","120,M,-0014,1","120,N,-0015,1","99999,9,09918,1","7,1,007,1,+999,9","0091,1","9,99,0078,1,999","SYN004BUFR",
"01006099999","2023-01-12T14:00:00","4","78.25","22.8166666","14.0","EDGEOYA, NO","FM-12","99999","V020","105,1,N,0083,1","99999,9,9,9","999999,9,9,9","+9999,9","+9999,9","09928,1","120,M,-0018,1","120,N,-0019,1","99999,9,09913,1","7,1,005,1,+999,9","0093,1","9,99,0084,1,999","SYN004BUFR",
"01006099999","2023-01-12T15:00:00","4","78.25","22.8166666","14.0","EDGEOYA, NO","FM-12","99999","V020","101,1,N,0079,1","99999,9,9,9","999999,9,9,9","+9999,9","+9999,9","09927,1","120,M,-0019,1","120,N,-0019,1","99999,9,09911,1","7,1,005,1,+999,9","0096,1","9,99,0084,1,999","SYN004BUFR",
"01006099999","2023-01-12T16:00:00","4","78.25","22.8166666","14.0","EDGEOYA, NO","FM-12","99999","V020","095,1,N,0076,1","99999,9,9,9","999999,9,9,9","+9999,9","+9999,9","09925,1","120,M,-0019,1","120,N,-0020,1","99999,9,09910,1","7,1,005,1,+999,9","0087,1","9,99,0079,1,999","SYN004BUFR",
"01006099999","2023-01-12T17:00:00","4","78.25","22.8166666","14.0","EDGEOYA, NO","FM-12","99999","V020","092,1,N,0074,1","99999,9,9,9","999999,9,9,9","+9999,9","+9999,9","09923,1","120,M,-0019,1","120,N,-0020,1","99999,9,09907,1","7,1,006,1,+999,9","0088,1","9,99,0078,1,999","SYN004BUFR",
